Fecha,CO,DViento,HAire10,NO,NO2,NOx,P,PLiquida,PM10,PM2.5,PST,RGlobal,TAire10,VViento
2001-12-15,,,,,,,,,,,,,,
2001-12-16,,,,,,,,,,,,,,
2001-12-17,,,,,,,,,,,,,,
2001-12-18,,,,,,,,,,,,,,
2001-12-19,,,,,,,,,,,,,,
2001-12-20,,,,,,,,,,,,,,
2001-12-21,,,,,,,,,,,,,,
2001-12-22,,,,,,,,,,,,,,
2001-12-23,,,,,,,,,,,,,,
2001-12-24,,,,,,,,,,,,,,
2001-12-25,,,,,,,,,,,,,,
2001-12-26,,,,,,,,,,,,,,
2001-12-27,,,,,,,,,,,,,,
2001-12-28,,,,,,,,,,,,,,
2001-12-29,,,,,,,,,,,,,,
2001-12-30,,,,,,,,,,,,,,
2001-12-31,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,
2002-01-02,,,,,,,,,,,,,,
2002-01-03,,,,,,,,,,,117.33254845,,,
2002-01-04,,,,,,,,,,,,,,
2002-01-05,,,,,,,,,,,,,,
2002-01-06,,,,,,,,,,,,,,
2002-01-07,,,,,,,,,,,,,,
2002-01-08,,,,,,,,,,,,,,
2002-01-09,,,,,,,,,,,,,,
2002-01-10,,,,,,,,,,,,,,
2002-01-11,,,,,,,,,,,,,,
2002-01-12,,,,,,,,,,,,,,
2002-01-13,,,,,,,,,,,,,,
2002-01-14,,,,,,,,,,,,,,
2002-01-15,,,,,,,,,,,,,,
2002-01-16,,,,,,,,,,,,,,
2002-01-17,,,,,,,,,,,,,,
2002-01-18,,,,,,,,,,,,,,
2002-01-19,,,,,,,,,,,,,,
2002-01-20,,,,,,,,,,,,,,
2002-01-21,,,,,,,,,,,,,,
2002-01-22,,,,,,,,,,,,,,
2002-01-23,,,,,,,,,,,,,,
2002-01-24,,,,,,,,,,,,,,
2002-01-25,,,,,,,,,,,,,,
2002-01-26,,,,,,,,,,,,,,
2002-01-27,,,,,,,,,,,,,,
2002-01-28,,,,,,,,,,,,,,
2002-01-29,,,,,,,,,,,,,,
2002-01-30,,,,,,,,,,,,,,
2002-01-31,,,,,,,,,,,,,,
2002-02-01,,,,,,,,,,,,,,
2002-02-02,,,,,,,,,,,106.077646,,,
2002-02-03,,,,,,,,,,,,,,
2002-02-04,,,,,,,,,,,,,,
2002-02-05,,,,,,,,,,,,,,
2002-02-06,,,,,,,,,,,68.42758866,,,
2002-02-07,,,,,,,,,,,,,,
2002-02-08,,,,,,,,,,,,,,
2002-02-09,,,,,,,,,,,,,,
2002-02-10,,,,,,,,,,,,,,
2002-02-11,,,,,,,,,,,,,,
2002-02-12,,,,,,,,,,,87.69097828,,,
2002-02-13,,,,,,,,,,,,,,
2002-02-14,,,,,,,,,,,,,,
2002-02-15,,,,,,,,,,,,,,
2002-02-16,,,,,,,,,,,,,,
2002-02-17,,,,,,,,,,,,,,
2002-02-18,,,,,,,,,,,,,,
2002-02-19,,,,,,,,,,,,,,
2002-02-20,,,,,,,,,,,,,,
2002-02-21,,,,,,,,,,,,,,
2002-02-22,,,,,,,,,,,,,,
2002-02-23,,,,,,,,,,,,,,
2002-02-24,,,,,,,,,,,,,,
2002-02-25,,,,,,,,,,,,,,
2002-02-26,,,,,,,,,,,,,,
2002-02-27,,,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,,,
2002-03-01,,,,,,,,,,,72.03296299,,,
2002-03-02,,,,,,,,,,,,,,
2002-03-03,,,,,,,,,,,,,,
2002-03-04,,,,,,,,,,,143.73502726,,,
2002-03-05,,,,,,,,,,,72.01470282,,,
2002-03-06,,,,,,,,,,,,,,
2002-03-07,,,,,,,,,,,,,,
2002-03-08,,,,,,,,,,,,,,
2002-03-09,,,,,,,,,,,,,,
2002-03-10,,,,,,,,,,,,,,
2002-03-11,,,,,,,,,,,,,,
2002-03-12,,,,,,,,,,,,,,
2002-03-13,,,,,,,,,,,,,,
2002-03-14,,,,,,,,,,,,,,
2002-03-15,,,,,,,,,,,,,,
2002-03-16,,,,,,,,,,,,,,
2002-03-17,,,,,,,,,,,,,,
2002-03-18,,,,,,,,,,,,,,
2002-03-19,,,,,,,,,,,,,,
2002-03-20,,,,,,,,,,,,,,
2002-03-21,,,,,,,,,,,,,,
2002-03-22,,,,,,,,,,,,,,
2002-03-23,,,,,,,,,,,,,,
2002-03-24,,,,,,,,,,,,,,
2002-03-25,,,,,,,,,,,,,,
2002-03-26,,,,,,,,,,,,,,
2002-03-27,,,,,,,,,,,,,,
2002-03-28,,,,,,,,,,,,,,
2002-03-29,,,,,,,,,,,,,,
2002-03-30,,,,,,,,,,,,,,
2002-03-31,,,,,,,,,,,,,,
2002-04-01,,,,,,,,,,,,,,
2002-04-02,,,,,,,,,,,,,,
2002-04-03,,,,,,,,,,,119.13323736,,,
2002-04-04,,,,,,,,,,,,,,
2002-04-05,,,,,,,,,,,,,,
2002-04-06,,,,,,,,,,,,,,
2002-04-07,,,,,,,,,,,,,,
2002-04-08,,,,,,,,,,,,,,
2002-04-09,,,,,,,,,,,,,,
2002-04-10,,,,,,,,,,,,,,
2002-04-11,,,,,,,,,,,,,,
2002-04-12,,,,,,,,,,,,,,
2002-04-13,,,,,,,,,,,,,,
2002-04-14,,,,,,,,,,,,,,
2002-04-15,,,,,,,,,,,,,,
2002-04-16,,,,,,,,,,,,,,
2002-04-17,,,,,,,,,,,,,,
2002-04-18,,,,,,,,,,,,,,
2002-04-19,,,,,,,,,,,,,,
2002-04-20,,,,,,,,,,,,,,
2002-04-21,,,,,,,,,,,,,,
2002-04-22,,,,,,,,,,,,,,
2002-04-23,,,,,,,,,,,,,,
2002-04-24,,,,,,,,,,,,,,
2002-04-25,,,,,,,,,,,,,,
2002-04-26,,,,,,,,,,,,,,
2002-04-27,,,,,,,,,,,,,,
2002-04-28,,,,,,,,,,,,,,
2002-04-29,,,,,,,,,,,,,,
2002-04-30,,,,,,,,,,,,,,
2002-05-01,,,,,,,,,,,,,,
2002-05-02,,,,,,,,,,,124.49203089,,,
2002-05-03,,,,,,,,,,,,,,
2002-05-04,,,,,,,,,,,,,,
2002-05-05,,,,,,,,,,,,,,
2002-05-06,,,,,,,,,,,125.42394263,,,
2002-05-07,,,,,,,,,,,,,,
2002-05-08,,,,,,,,,,,,,,
2002-05-09,,,,,,,,,,,,,,
2002-05-10,,,,,,,,,,,,,,
2002-05-11,,,,,,,,,,,,,,
2002-05-12,,,,,,,,,,,126.85457769,,,
2002-05-13,,,,,,,,,,,,,,
2002-05-14,,,,,,,,,,,,,,
2002-05-15,,,,,,,,,,,,,,
2002-05-16,,,,,,,,,,,,,,
2002-05-17,,,,,,,,,,,,,,
2002-05-18,,,,,,,,,,,,,,
2002-05-19,,,,,,,,,,,,,,
2002-05-20,,,,,,,,,,,,,,
2002-05-21,,,,,,,,,,,,,,
2002-05-22,,,,,,,,,,,,,,
2002-05-23,,,,,,,,,,,,,,
2002-05-24,,,,,,,,,,,,,,
2002-05-25,,,,,,,,,,,,,,
2002-05-26,,,,,,,,,,,,,,
2002-05-27,,,,,,,,,,,,,,
2002-05-28,,,,,,,,,,,,,,
2002-05-29,,,,,,,,,,,,,,
2002-05-30,,,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,,,
2002-06-01,,,,,,,,,,,60.25977953,,,
2002-06-02,,,,,,,,,,,,,,
2002-06-03,,,,,,,,,,,,,,
2002-06-04,,,,,,,,,,,107.42509547,,,
2002-06-05,,,,,,,,,,,86.97937116,,,
2002-06-06,,,,,,,,,,,,,,
2002-06-07,,,,,,,,,,,,,,
2002-06-08,,,,,,,,,,,,,,
2002-06-09,,,,,,,,,,,,,,
2002-06-10,,,,,,,,,,,,,,
2002-06-11,,,,,,,,,,,,,,
2002-06-12,,,,,,,,,,,,,,
2002-06-13,,,,,,,,,,,,,,
2002-06-14,,,,,,,,,,,,,,
2002-06-15,,,,,,,,,,,,,,
2002-06-16,,,,,,,,,,,,,,
2002-06-17,,,,,,,,,,,,,,
2002-06-18,,,,,,,,,,,,,,
2002-06-19,,,,,,,,,,,,,,
2002-06-20,,,,,,,,,,,,,,
2002-06-21,,,,,,,,,,,,,,
2002-06-22,,,,,,,,,,,,,,
2002-06-23,,,,,,,,,,,,,,
2002-06-24,,,,,,,,,,,,,,
2002-06-25,,,,,,,,,,,,,,
2002-06-26,,,,,,,,,,,,,,
2002-06-27,,,,,,,,,,,,,,
2002-06-28,,,,,,,,,,,,,,
2002-06-29,,,,,,,,,,,,,,
2002-06-30,,,,,,,,,,,,,,
2002-07-01,,,,,,,,,,,,,,
2002-07-02,,,,,,,,,,,,,,
2002-07-03,,,,,,,,,,,153.54303327,,,
2002-07-04,,,,,,,,,,,,,,
2002-07-05,,,,,,,,,,,,,,
2002-07-06,,,,,,,,,,,,,,
2002-07-07,,,,,,,,,,,,,,
2002-07-08,,,,,,,,,,,,,,
2002-07-09,,,,,,,,,,,,,,
2002-07-10,,,,,,,,,,,,,,
2002-07-11,,,,,,,,,,,,,,
2002-07-12,,,,,,,,,,,,,,
2002-07-13,,,,,,,,,,,,,,
2002-07-14,,,,,,,,,,,,,,
2002-07-15,,,,,,,,,,,,,,
2002-07-16,,,,,,,,,,,,,,
2002-07-17,,,,,,,,,,,,,,
2002-07-18,,,,,,,,,,,,,,
2002-07-19,,,,,,,,,,,,,,
2002-07-20,,,,,,,,,,,,,,
2002-07-21,,,,,,,,,,,,,,
2002-07-22,,,,,,,,,,,,,,
2002-07-23,,,,,,,,,,,,,,
2002-07-24,,,,,,,,,,,,,,
2002-07-25,,,,,,,,,,,,,,
2002-07-26,,,,,,,,,,,,,,
2002-07-27,,,,,,,,,,,,,,
2002-07-28,,,,,,,,,,,,,,
2002-07-29,,,,,,,,,,,,,,
2002-07-30,,,,,,,,,,,,,,
2002-07-31,,,,,,,,,,,,,,
2002-08-01,,,,,,,,,,,,,,
2002-08-02,,,,,,,,,,,87.08137622,,,
2002-08-03,,,,,,,,,,,,,,
2002-08-04,,,,,,,,,,,,,,
2002-08-05,,,,,,,,,,,,,,
2002-08-06,,,,,,,,,,,129.41174887,,,
2002-08-07,,,,,,,,,,,,,,
2002-08-08,,,,,,,,,,,,,,
2002-08-09,,,,,,,,,,,,,,
2002-08-10,,,,,,,,,,,,,,
2002-08-11,,,,,,,,,,,,,,
2002-08-12,,,,,,,,,,,75.86482957,,,
2002-08-13,,,,,,,,,,,,,,
2002-08-14,,,,,,,,,,,,,,
2002-08-15,,,,,,,,,,,,,,
2002-08-16,,,,,,,,,,,,,,
2002-08-17,,,,,,,,,,,,,,
2002-08-18,,,,,,,,,,,,,,
2002-08-19,,,,,,,,,,,,,,
2002-08-20,,,,,,,,,,,,,,
2002-08-21,,,,,,,,,,,,,,
2002-08-22,,,,,,,,,,,,,,
2002-08-23,,,,,,,,,,,,,,
2002-08-24,,,,,,,,,,,,,,
2002-08-25,,,,,,,,,,,,,,
2002-08-26,,,,,,,,,,,,,,
2002-08-27,,,,,,,,,,,,,,
2002-08-28,,,,,,,,,,,,,,
2002-08-29,,,,,,,,,,,,,,
2002-08-30,,,,,,,,,,,,,,
2002-08-31,,,,,,,,,,,,,,
2002-09-01,,,,,,,,,,,77.07601946,,,
2002-09-02,,,,,,,,,,,,,,
2002-09-03,,,,,,,,,,,,,,
2002-09-04,,,,,,,,,,,124.00679525,,,
2002-09-05,,,,,,,,,,,91.57022914,,,
2002-09-06,,,,,,,,,,,,,,
2002-09-07,,,,,,,,,,,,,,
2002-09-08,,,,,,,,,,,,,,
2002-09-09,,,,,,,,,,,,,,
2002-09-10,,,,,,,,,,,,,,
2002-09-11,,,,,,,,,,,,,,
2002-09-12,,,,,,,,,,,,,,
2002-09-13,,,,,,,,,,,,,,
2002-09-14,,,,,,,,,,,,,,
2002-09-15,,,,,,,,,,,,,,
2002-09-16,,,,,,,,,,,,,,
2002-09-17,,,,,,,,,,,,,,
2002-09-18,,,,,,,,,,,,,,
2002-09-19,,,,,,,,,,,,,,
2002-09-20,,,,,,,,,,,,,,
2002-09-21,,,,,,,,,,,,,,
2002-09-22,,,,,,,,,,,,,,
2002-09-23,,,,,,,,,,,,,,
2002-09-24,,,,,,,,,,,,,,
2002-09-25,,,,,,,,,,,,,,
2002-09-26,,,,,,,,,,,,,,
2002-09-27,,,,,,,,,,,,,,
2002-09-28,,,,,,,,,,,,,,
2002-09-29,,,,,,,,,,,,,,
2002-09-30,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,
2002-10-02,,,,,,,,,,,,,,
2002-10-03,,,,,,,,,,,115.73313787,,,
2002-10-04,,,,,,,,,,,,,,
2002-10-05,,,,,,,,,,,,,,
2002-10-06,,,,,,,,,,,,,,
